OBJECTID,GRID,SHAPE_Leng,SHAPE_Area,mortality_score,community_score,egress_score,population_score,utility_score,priority_score,priority_class,priority_rank
1,101,2537.8375755,399021.52195,0.0,0.0,9.153623726576052,3.9588281868566906,2.308947315138826,2.6554437048575963,Low,31
2,102,2539.14032594,399427.478483,0.0,0.0,9.063019426361604,3.9588281868566906,5.768159030067418,2.9832440163075664,Low,25
3,103,2539.1000925,399417.39553,0.0,0.0,7.327377948733906,0.34837688044338877,0.935615698245939,1.6112936916378835,Very Low,54
4,111,2536.94258989,398796.532513,0.0,0.0,6.474711501583097,3.341250989707047,0.49787068367863946,1.8459170171405406,Very Low,49
5,112,2536.92197037,398789.372624,0.0,0.0,8.210835672250948,3.9588281868566906,0.5109704434633426,2.2870884068250272,Low,38
6,113,2536.94309276,398796.662416,0.0,0.0,9.699734378082411,3.9588281868566906,3.323885355170929,2.8661596391620785,Low,28
7,121,2536.93957242,398795.398172,0.0,0.0,3.7613024377672355,3.341250989707047,0.49787068367863946,1.3032352043773683,Very Low,58
8,122,2536.92473641,398790.434636,0.0,0.0,6.069374820547642,3.341250989707047,2.5341040105080275,1.9684730136163882,Very Low,46
9,123,2536.93554907,398794.358898,0.0,0.0,7.640647985041186,3.341250989707047,7.909914600636263,2.820308705527921,Low,29
10,131,2536.93831514,398795.036437,0.0,0.0,1.6499291714423125,3.341250989707047,1.191851311278712,0.9503586138723907,Very Low,68
11,132,2536.92649662,398790.926279,0.0,0.0,3.333063099790122,3.341250989707047,8.73015336108058,2.0408156045221393,Low,41
12,133,2536.94334423,398796.734764,0.0,0.0,5.218580733827709,3.341250989707047,6.554981064109469,2.200401901632546,Low,40
13,141,2537.80639039,399072.52293,0.0,0.0,0.7083430870326857,3.341250989707047,0.49787068367863946,0.6926433342304581,Very Low,70
14,142,2536.9219704,398789.490941,0.0,0.0,1.5067536690257755,3.341250989707047,1.8614352399197869,0.9886819062531909,Very Low,66
15,143,2536.93580051,398794.57912,0.0,0.0,2.236790941834843,3.341250989707047,4.071457506646202,1.3556915874876458,Very Low,56
16,151,2538.44330388,399338.14625,0.0,0.0,4.183078906790609,4.592240696753761,0.49787068367863946,1.5752389542390501,Very Low,55
17,152,2536.9471161,398796.74038,0.0,0.0,4.930215487260014,4.592240696753761,0.49787068367863946,1.7246662703329312,Very Low,52
18,153,2536.96622682,398803.081776,0.0,1.69160948811783,5.026245267340568,4.592240696753761,1.7895459878485638,2.2959421287954918,Low,36
19,161,2539.75765204,399771.807757,0.0,0.0,7.655260753628398,0.9817893903404593,6.175102301562507,2.2958307894329995,Low,37
20,162,2536.9277539,398791.036584,0.0,0.0,8.203900900923124,1.2509897070467142,9.911823764073146,2.819611012648947,Low,30
21,163,2536.93957239,398795.279848,0.0,1.6759492176016155,8.392800404784955,1.2509897070467142,9.851440935383927,3.2703399349527946,Low,21
22,171,2539.75614331,399771.007325,0.0,0.0,8.872130999545572,1.2509897070467142,9.05243014430362,2.8673176703964836,Low,27
23,172,2537.72914606,399047.488628,0.0,0.0,8.740983937109757,1.2509897070467142,3.2406999099741713,2.2599152344763755,Low,39
24,173,2537.92358593,399052.058511,0.0,0.0,8.185451201867401,0.0,3.4818247632361747,1.9852727166970978,Very Low,43
25,144,2536.9317772,398793.170175,0.0,1.8652943878382988,3.698167622609929,3.341250989707047,1.3256290349454916,1.839707673432167,Very Low,50
26,145,2536.93630345,398794.472432,0.0,7.2247993198630205,6.211725693440963,3.341250989707047,8.77817939049507,4.427550556159512,Medium,8
27,146,2536.92649661,398790.941063,0.0,7.3191714407583595,8.641494984416816,9.382422802850357,9.558864798758313,5.921341757376338,Medium,1
28,147,2536.94082966,398795.878203,0.0,6.468482206501943,8.877445371171195,9.382422802850357,8.600590830041368,5.660032129291415,Medium,3
29,148,2536.94082968,398796.040866,0.0,6.022424600416909,6.520159438645497,5.771971496437055,6.009936087512687,4.276427371050153,Medium,9
30,149,2536.93756072,398795.055981,0.0,1.7853443334914798,3.799716660723307,0.0,0.6672478781285758,1.273004203330389,Very Low,60
